"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.00128571428571429	0.000142857142857143	0.00257142857142857	0.00442857142857143	0.00128571428571429	0.000142857142857143	0.000428571428571429	0.00457142857142857	0.00714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0	0	0.008	0	0	0	0	0.0132857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00442857142857143	0.00142857142857143	0.00271428571428571	0.00157142857142857	0.00371428571428571	0.00128571428571429	0.00171428571428571	0.00171428571428571	0.00171428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000428571428571429	0.000714285714285714	0.000571428571428571	0.00471428571428571	0.003	0.00185714285714286	0.00128571428571429	0.00314285714285714	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.0131428571428571	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000285714285714286	0.000571428571428571	0.001	0.000285714285714286	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.000857142857142857	0.000285714285714286	0.00114285714285714	0.003	0.00214285714285714	0.00328571428571429	0.00271428571428571	0.00185714285714286	0.00385714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0.000428571428571429	0.000142857142857143	0.00585714285714286	0.00271428571428571	0.001	0.000857142857142857	0.001	0.00371428571428571	0.00328571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0	0	0.0118571428571429	0	0	0	0	0.00628571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.01	0.000428571428571429	0.001	0.000857142857142857	0.00128571428571429	0.000857142857142857	0.000857142857142857	0.000285714285714286	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena contorta"	0.00985714285714286	0.001	0.000857142857142857	0.000571428571428571	0	0.00142857142857143	0.000714285714285714	0.000142857142857143	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus niger"	0	0.00142857142857143	0.00514285714285714	0.00128571428571429	0.00114285714285714	0.000428571428571429	0.00128571428571429	0.001	0.00271428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.003	0.000428571428571429	0.00285714285714286	0.00142857142857143	0.000714285714285714	0.000428571428571429	0.000714285714285714	0.00214285714285714	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000428571428571429	0.00357142857142857	0.000571428571428571	0.00142857142857143	0.00242857142857143	0.000571428571428571	0.000285714285714286	0.00257142857142857	0.00142857142857143
