"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0	0.000571428571428571	0.000285714285714286	0.00728571428571429	0.000428571428571429	0.000571428571428571	0.000571428571428571	0.002	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0	0.00114285714285714	0.000428571428571429	0.000857142857142857	0.00171428571428571	0.000714285714285714	0.00571428571428571	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0	0.000285714285714286	0.00142857142857143	0.00257142857142857	0.001	0.00142857142857143	0.00157142857142857	0.000857142857142857	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0	0	0.00114285714285714	0.00457142857142857	0.00114285714285714	0.000571428571428571	0.000714285714285714	0.00242857142857143	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella maculosa"	0	0.00114285714285714	0.000142857142857143	0.000285714285714286	0.00214285714285714	0.00214285714285714	0.00285714285714286	0.000857142857142857	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0	0	0.000285714285714286	0.00642857142857143	0.000857142857142857	0.00142857142857143	0.000714285714285714	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pasteurianus"	0.00914285714285714	0.000571428571428571	0.000142857142857143	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella marseillensis"	0	0.00157142857142857	0.000142857142857143	0.000142857142857143	0.00142857142857143	0.00285714285714286	0.00271428571428571	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.002	0.00228571428571429	0.00357142857142857	0.000571428571428571	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides gallinaceum"	0	0	0.00142857142857143	0.00171428571428571	0.000714285714285714	0.000714285714285714	0.00142857142857143	0.00171428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0	0	0	0.007	0.000142857142857143	0.000142857142857143	0.000428571428571429	0	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0	0	0.000142857142857143	0.00185714285714286	0.00228571428571429	0.000571428571428571	0.002	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella loescheii"	0	0.00128571428571429	0	0.000285714285714286	0.00185714285714286	0.000714285714285714	0.00257142857142857	0.000428571428571429	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0	0.000857142857142857	0	0.000714285714285714	0.00142857142857143	0.000571428571428571	0.003	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0	0	0.000142857142857143	0.000428571428571429	0.00171428571428571	0.000857142857142857	0.00257142857142857	0.000857142857142857	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum succiniciproducens"	0.000142857142857143	0.00214285714285714	0.000571428571428571	0.000428571428571429	0.00142857142857143	0.000428571428571429	0.000714285714285714	0	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides|s__Caecibacteroides pullorum"	0	0	0.000571428571428571	0.00142857142857143	0.000857142857142857	0.000714285714285714	0.00157142857142857	0.000857142857142857	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0	0	0.000142857142857143	0.00228571428571429	0.000571428571428571	0.000428571428571429	0.000142857142857143	0.00157142857142857	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0	0.000142857142857143	0.000714285714285714	0.00114285714285714	0.00114285714285714	0.000428571428571429	0.00157142857142857	0.000428571428571429	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0	0	0.000142857142857143	0.00271428571428571	0.00128571428571429	0.000428571428571429	0.000714285714285714	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0	0.000857142857142857	0.000428571428571429	0.001	0.000714285714285714	0.000714285714285714	0.000571428571428571	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella koreensis"	0	0.00142857142857143	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.00114285714285714	0.00142857142857143	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0	0.000285714285714286	0	0.00457142857142857	0.000142857142857143	0	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter actinomycetemcomitans"	0.00442857142857143	0.000285714285714286	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.000571428571428571	0.00114285714285714	0.00157142857142857	0.000857142857142857	0.000142857142857143	0	0	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella shahii"	0	0.001	0	0.000285714285714286	0.001	0.000428571428571429	0.00157142857142857	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprocola"	0	0	0.000714285714285714	0.000714285714285714	0.001	0.000428571428571429	0.000857142857142857	0.000428571428571429	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Canicola|s__Canicola haemoglobinophilus"	0.00385714285714286	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens"	0.000857142857142857	0.00214285714285714	0	0.000714285714285714	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus hirae"	0	0	0	0	0	0.00128571428571429	0.000285714285714286	0.00171428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella illustrans"	0	0.000571428571428571	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000428571428571429	0.00114285714285714	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0	0.000285714285714286	0	0.00114285714285714	0.000571428571428571	0	0.000714285714285714	0	0.000142857142857143
