"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium saguinibicoloris"	0	0	0.00385714285714286	0	0.000428571428571429	0	0.00257142857142857	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0	0	0.00242857142857143	0.000571428571428571	0.00128571428571429	0.000857142857142857	0.001	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.002	0.000857142857142857	0	0.000285714285714286	0.000285714285714286	0.002	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0.004	0	0	0	0	0.000142857142857143	0.00171428571428571	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0.00214285714285714	0.00185714285714286	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.00128571428571429	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium cebidarum"	0	0	0.00157142857142857	0	0.00242857142857143	0	0.00185714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora amygdalina"	0.00171428571428571	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.000857142857142857	0.000142857142857143	0.00128571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea|s__Mediterranea massiliensis"	0	0	0.00342857142857143	0	0.000714285714285714	0	0.00128571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.00214285714285714	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella catena"	0	0.000142857142857143	0.00142857142857143	0	0.00171428571428571	0.000428571428571429	0.000857142857142857	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella tayi"	0.000285714285714286	0	0.000142857142857143	0	0.000285714285714286	0.00142857142857143	0.000142857142857143	0.00228571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter mediterraneus"	0.000285714285714286	0	0.000714285714285714	0	0.00128571428571429	0.001	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis"	0.00128571428571429	0.000714285714285714	0.000142857142857143	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.00128571428571429	0.001	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000571428571428571	0	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella provencensis"	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000857142857142857	0.00171428571428571	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.00157142857142857	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000142857142857143	0	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium santillanense"	0	0	0.00271428571428571	0	0.000857142857142857	0	0.000285714285714286	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens"	0.000285714285714286	0	0	0.000428571428571429	0.00128571428571429	0.000857142857142857	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus"	0	0	0.002	0.000142857142857143	0.000571428571428571	0.000428571428571429	0.000571428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides finegoldii"	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.00114285714285714	0.000857142857142857	0.000571428571428571	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.00214285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.00185714285714286	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprophilus"	0	0	0.00142857142857143	0	0.000571428571428571	0.000142857142857143	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella intestinihominis"	0	0	0.000571428571428571	0.001	0.000571428571428571	0.000142857142857143	0.000714285714285714	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium miconisargentati"	0	0	0.00171428571428571	0	0.000857142857142857	0	0.000285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella bouchesdurhonensis"	0	0	0.001	0	0.00128571428571429	0	0.000571428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecigallinarum"	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.001	0.000571428571428571	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella|s__Hungatella xylanolytica"	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0	0.000571428571428571	0	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia schinkii"	0.000571428571428571	0.000285714285714286	0.000714285714285714	0	0.000857142857142857	0.000142857142857143	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.000857142857142857	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides|s__Caecibacteroides pullorum"	0	0	0.002	0	0.000142857142857143	0	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium edouardi"	0.001	0.000714285714285714	0	0.000142857142857143	0	0.000571428571428571	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0.000285714285714286	0.000285714285714286	0	0.000428571428571429	0	0.000857142857142857	0	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium catenulatum"	0	0	0.00128571428571429	0	0.000857142857142857	0	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia caecimuris"	0.000428571428571429	0.000285714285714286	0.000142857142857143	0	0.000714285714285714	0	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena contorta"	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0.000428571428571429
