"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia formatexigens"	0.000714285714285714	0.000428571428571429	0.000285714285714286	0.000571428571428571	0.000857142857142857	0	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.00285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.000571428571428571	0.00114285714285714	0.000285714285714286	0	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0	0.000285714285714286	0.000571428571428571	0.000857142857142857	0.000857142857142857	0	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0	0.00128571428571429	0.00185714285714286	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.000857142857142857	0.000285714285714286	0.000428571428571429	0.000428571428571429	0.000285714285714286	0	0.000857142857142857	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0.00157142857142857	0.001	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.000857142857142857	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000857142857142857	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0	0.000571428571428571	0.00114285714285714	0.000285714285714286	0.000428571428571429	0	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea agglomerans"	0	0	0	0	0	0	0.00285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium vespertilionis"	0	0.00114285714285714	0.00128571428571429	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0	0.000142857142857143	0.000142857142857143	0.000857142857142857	0.000285714285714286	0	0.000714285714285714	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000428571428571429	0.000142857142857143
