tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008-CTRL	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	0	1	0	70	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	87
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	12	27	0	7	0	0	1	5	0	3	0	0	3	2	3	0	0	0	0	0	0	4	10	8	85
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	2	16	0	4	3	19	3	2	0	6	3	3	2	2	1	1	2	2	1	1	0	6	1	0	80
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	3	2	0	3	3	5	12	2	1	4	0	6	1	2	1	4	5	1	0	2	2	11	5	2	77
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	7	1	0	3	7	0	16	1	1	2	0	0	0	4	0	0	0	0	20	5	10	77
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	1	0	0	1	20	0	6	3	0	0	0	0	0	7	24	3	7	1	0	0	0	0	0	0	73
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	3	12	0	1	0	1	1	3	2	2	1	7	3	17	4	0	0	4	0	0	0	3	5	3	72
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	5	0	0	0	0	0	0	8	8	5	10	1	15	4	0	0	0	0	0	3	5	1	3	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	6	0	3	0	0	1	0	5	4	3	1	0	2	0	0	0	0	0	1	1	16	17	6	68
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	4	0	0	3	7	0	4	3	0	0	0	0	0	13	22	3	2	5	0	0	0	0	0	0	66
