tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	5	0	2	1	5	1	4	1	5	5	2	5	1	2	1	0	0	4	5	3	1	1	12	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	6	3	0	0	0	0	0	1	0	0	8	0	0	0	0	0	2	28	0	0	11	5	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	6	9	1	2	0	3	10	2	3	2	0	5	0	0	1	4	2	0	11	3	64
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	15	0	4	0	0	0	1	0	4	1	7	0	1	1	1	0	0	0	0	0	10	0	17	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	2	1	5	0	1	0	0	2	1	2	0	0	2	0	0	9	15	0	0	21	1	62
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	2	0	2	2	3	3	5	7	3	3	7	1	7	0	0	5	0	1	3	4	0	1	2	61
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	3	0	4	11	5	1	0	5	2	2	0	2	3	2	0	1	0	8	2	3	0	6	1	61
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	0	0	8	2	2	0	0	1	3	0	0	6	11	3	0	0	0	3	3	3	1	7	7	60
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	2	7	3	4	0	0	1	1	1	1	6	16	2	0	0	0	2	5	0	0	7	2	60
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	2	1	0	1	2	0	0	6	0	1	0	0	0	0	0	3	0	41	0	57
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	2	0	0	2	9	6	9	0	0	8	1	4	0	0	0	0	1	0	4	1	0	9	0	56
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	2	7	10	0	0	0	0	0	0	2	2	9	1	0	0	0	0	1	7	0	0	14	1	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	54
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	0	0	26	3	0	0	0	1	0	0	1	0	0	1	0	0	1	5	1	0	11	2	53
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	3	0	0	0	0	3	5	3	15	4	0	5	2	2	3	0	0	0	1	2	0	0	4	52
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	2	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	51
