tax	BUD-46-MGE-S81	CM-NTC-005-CTRL	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	45	0	36	60	13	14	51	23	48	82	27	55	16	185	1	114	28	11	49	35	31	32	7	15	978
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	947	26	0	978
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	91	0	20	7	5	7	75	25	60	58	59	40	43	108	26	81	34	58	1	3	66	81	2	25	975
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	6	0	0	0	0	0	0	409	4	2	1	9	31	0	2	61	17	13	0	0	0	7	407	2	971
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	13	0	4	35	2	3	11	78	17	45	13	230	82	23	1	173	67	24	0	41	2	33	66	5	968
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	17	0	3	28	3	3	11	68	15	35	8	256	149	15	7	137	57	24	0	23	2	34	45	9	949
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	129	0	0	0	0	0	47	1	189	148	164	0	0	0	81	2	0	0	0	0	1	1	0	1	764
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	5	0	22	0	0	0	0	58	25	66	232	54	66	0	30	18	3	7	0	20	4	0	102	0	712
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	19	0	0	0	1	0	0	75	26	7	6	180	79	13	0	115	22	8	0	0	0	93	37	4	685
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	52	1	29	30	0	65	360	0	0	0	0	3	0	0	1	40	0	0	0	4	5	46	636
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	61	0	25	47	30	16	43	10	31	25	26	12	41	46	37	27	5	8	26	1	12	42	30	12	613
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	1	0	0	0	0	0	0	34	0	0	0	63	107	0	0	183	70	31	0	0	0	83	0	0	572
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	23	0	17	10	8	7	35	19	31	84	38	24	2	108	0	25	9	4	17	24	14	7	4	13	523
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	94	0	0	0	0	1	29	0	144	89	100	0	0	1	47	2	1	0	0	0	2	1	2	4	517
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	14	0	8	12	1	0	5	46	6	31	7	122	24	20	3	97	38	13	0	18	2	16	30	1	514
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	22	0	13	9	11	26	27	1	42	68	83	33	23	29	0	8	11	1	7	5	28	4	1	10	462
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	11	0	8	17	12	2	11	13	29	30	7	54	22	48	4	106	31	5	6	14	5	18	3	3	459
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	2	0	0	0	0	14	2	1	4	85	157	14	0	59	23	23	6	36	0	23	4	0	454
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	51	0	0	0	0	0	30	0	112	86	102	0	0	1	61	1	0	0	0	0	0	1	1	6	452
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	94	0	1	11	4	2	10	6	36	9	6	31	40	48	14	42	16	20	3	4	17	29	0	0	443
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	145	0	0	0	0	0	28	6	0	1	0	0	0	13	0	61	38	12	0	0	12	20	10	79	425
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	21	0	0	0	0	0	0	10	102	9	23	14	22	2	0	77	29	49	7	14	0	26	2	9	416
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	13	0	3	5	2	1	17	32	13	34	19	37	15	48	7	72	25	6	2	13	5	30	8	3	410
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	11	0	2	17	1	1	5	30	8	19	4	79	36	14	2	94	31	7	0	13	0	12	10	1	397
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	115	0	1	8	2	3	0	25	6	2	3	12	112	4	2	18	12	6	5	6	7	27	16	3	395
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	101	0	0	0	1	0	34	0	0	0	0	0	0	2	27	52	24	2	12	91	48	0	0	0	394
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	12	0	6	8	12	16	24	1	46	67	118	13	6	19	0	6	2	0	7	1	11	2	0	4	381
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	105	0	2	11	6	7	8	41	8	1	0	39	34	18	4	3	3	1	29	7	12	8	5	1	353
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	7	0	1	4	0	0	10	3	3	9	7	50	29	41	3	60	26	32	1	9	4	18	6	5	328
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	74	0	1	0	0	0	20	0	48	28	22	0	0	7	14	33	7	4	0	0	2	4	1	24	289
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	11	0	12	8	2	4	11	4	19	28	10	22	7	39	0	39	10	2	4	12	8	10	3	3	268
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	11	0	5	3	2	2	6	6	9	13	5	61	13	24	6	59	17	2	2	6	3	6	2	4	267
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	6	0	0	6	1	0	5	26	11	15	12	42	22	16	1	49	16	2	0	10	3	16	5	1	265
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	0	0	0	0	0	7	29	10	8	7	7	0	0	51	12	3	0	42	2	12	9	44	243
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	9	0	2	5	5	2	3	6	5	20	9	42	17	24	5	39	13	1	3	12	4	10	4	2	242
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	57	0	6	1	9	2	5	1	5	0	1	3	4	47	0	50	19	11	0	0	4	17	0	0	242
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	1	0	0	0	0	0	0	0	75	7	11	1	8	0	0	0	0	0	0	0	0	0	72	62	237
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	4	0	3	8	1	1	4	14	5	10	6	56	13	7	5	41	18	6	0	9	1	5	19	0	236
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	13	0	1	19	1	1	13	4	6	16	18	19	13	17	12	26	19	9	1	0	4	15	3	3	233
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	44	0	1	5	6	1	6	14	2	2	0	35	49	8	0	8	0	0	32	2	5	6	3	1	230
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	7	0	4	2	6	3	6	6	7	11	6	29	8	24	2	31	13	1	10	7	3	8	3	2	199
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	7	0	1	0	1	0	0	0	6	1	0	1	1	6	0	85	36	8	0	1	1	6	27	5	193
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	28	0	0	0	0	0	13	0	45	38	44	0	0	0	20	0	0	0	0	0	0	0	0	0	188
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	179	2	0	185
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	4	0	0	0	0	0	9	20	11	18	10	8	2	15	1	49	14	2	0	0	2	17	2	1	185
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	9	0	1	0	0	0	1	13	0	1	0	14	21	6	0	54	11	26	0	0	1	10	0	2	170
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	125	21	15	0	0	0	0	0	0	167
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	23	0	0	0	0	0	8	0	44	34	35	0	0	0	17	0	0	0	0	0	0	0	0	0	161
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	157	2	0	160
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	10	7	0	0	0	45	0	0	159
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	157
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	34	0	1	0	4	1	2	0	30	4	7	3	9	22	0	21	9	3	0	0	2	5	0	0	157
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	0	0	0	0	0	2	6	1	2	50	73	0	0	9	0	0	0	0	0	2	11	0	156
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	4	0	1	1	3	0	3	3	5	10	4	26	8	18	2	17	10	7	1	7	2	9	12	1	154
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	0	0	0	0	0	0	0	0	0	4	18	14	0	0	13	22	13	1	2	4	28	28	2	151
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	5	0	3	1	0	0	2	24	7	8	18	0	0	1	0	15	4	5	0	6	2	48	1	0	150
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	0	0	0	0	0	8	0	0	33	15	0	0	14	29	6	0	0	0	42	0	0	147
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia pseudococcoides	7	0	1	3	3	0	1	6	15	13	3	3	1	4	1	41	20	3	0	1	1	7	5	3	142
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	4	0	2	3	0	0	3	6	7	3	1	32	14	4	6	21	3	1	1	6	4	11	6	2	140
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	6	0	0	0	0	0	0	4	7	1	2	5	9	2	0	21	7	8	1	6	1	7	41	10	138
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	15	0	0	0	0	0	8	0	33	22	42	0	0	0	13	0	0	0	0	0	0	0	0	0	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	22	0	0	0	0	0	6	0	38	19	28	0	0	0	19	0	0	0	0	0	0	0	0	0	132
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	6	0	0	0	21	49	0	0	28	7	4	0	0	0	1	1	15	132
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	0	0	2	0	6	3	0	0	0	0	0	56	2	0	2	51	3	0	1	0	0	0	1	2	129
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	1	0	5	5	2	4	7	1	4	13	10	0	1	20	0	25	5	13	1	1	4	1	0	2	125
