tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	23	14	0	0	0	297	95	0	1	42	22	66	11	197	105	364	52	166	219	23	91	51	239	164	126	15	43	166	118	214	175	189	321	81	124	20	43	31	30	21	108	76	57	58	43	87	25	10	38	66	320	61	444	5352
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium rousetti	7	8	50	0	0	0	37	28	20	327	10	4	75	8	140	71	658	6	44	193	21	223	2	51	17	18	10	83	85	212	72	275	60	109	25	43	68	175	790	177	21	78	26	70	42	275	73	40	8	9	40	164	47	206	5301
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	0	0	10	0	0	0	0	1	0	1	2	0	1	0	1	0	2	0	0	0	0	6	0	0	1	1	546	405	198	258	0	2	1	1	0	1	264	1	4	3	1	2	600	624	41	51	0	2	0	0	229	456	303	325	4344
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium hapali	2	34	22	0	0	0	173	63	16	119	2	1	15	0	273	26	157	8	63	383	6	182	12	129	84	253	14	93	149	62	88	128	24	42	33	103	23	8	30	47	2	43	85	77	19	41	40	49	1	111	21	133	2	106	3597
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	0	0	1	0	1	61	513	345	346	366	2	37	90	346	432	114	59	0	0	0	0	0	0	0	0	301	301	0	0	0	0	67	63	0	0	0	1	0	0	0	1	0	0	0	1	3448
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	24	778	144	0	0	0	0	8	0	0	36	16	17	15	149	11	10	36	64	68	5	8	24	35	4	7	232	364	7	5	1	1	5	3	43	29	4	3	5	0	5	11	3	6	0	0	0	8	8	415	262	251	17	18	3165
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	697	780	30	0	0	0	0	30	0	0	0	0	0	0	6	409	127	48	8	0	19	48	176	117	70	15	13	15	6	15	0	0	0	0	49	6	1	0	0	1	20	14	0	1	2	0	0	0	0	63	34	32	18	14	2884
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	1	6	0	0	0	0	24	0	0	176	62	162	30	228	97	80	69	86	66	12	25	85	200	68	55	6	6	29	39	5	9	11	19	117	159	0	7	1	12	91	120	0	0	11	9	2	15	70	45	113	143	151	135	2857
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	21	49	125	0	0	0	68	139	1	0	38	27	54	17	53	151	64	104	54	30	38	39	76	45	90	34	84	38	32	70	101	38	96	48	122	33	26	75	44	14	61	36	59	27	35	25	17	54	18	3	80	61	94	58	2766
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	1	0	277	0	0	0	182	120	0	0	14	10	11	5	140	66	48	20	23	94	14	30	28	34	46	30	53	46	16	132	53	50	130	103	131	95	16	58	76	26	81	97	9	12	0	0	43	82	7	1	22	17	48	44	2641
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	6	1	55	0	0	0	172	134	0	0	22	10	24	9	137	65	107	31	43	109	30	82	13	34	27	48	35	19	42	139	50	249	45	79	24	15	54	13	23	51	32	68	32	29	5	21	51	89	4	1	23	59	25	23	2459
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	224	105	465	0	0	1	0	1	1	121	0	0	3	0	0	209	210	14	11	0	0	0	0	145	257	177	189	2455
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	282	33	0	0	0	0	33	0	0	99	88	167	25	110	66	30	50	29	27	1	21	35	36	51	36	94	87	11	15	0	0	0	0	62	33	0	7	9	2	24	12	1	0	0	0	8	62	85	13	65	58	159	154	2180
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium samirii	0	0	12	0	0	0	24	4	0	0	7	6	14	2	145	16	81	21	203	155	9	26	29	145	29	24	2	16	82	15	32	37	7	4	54	253	0	3	4	0	37	99	15	11	0	0	8	0	2	0	43	173	22	188	2059
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	115	595	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	183	213	13	52	0	0	2	2	4	2	0	0	1	16	45	32	0	0	0	0	0	0	0	624	29	26	24	31	2020
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	26	120	7	0	1	0	37	43	0	1	12	4	10	1	71	62	173	24	13	62	18	87	29	106	18	26	6	36	42	72	26	43	10	19	26	24	46	10	10	241	11	43	13	18	13	37	3	11	5	27	27	125	16	85	1996
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium saguinibicoloris	0	2	4	0	0	0	10	3	0	5	2	1	11	2	69	27	203	2	15	83	4	39	2	13	52	36	1	2	13	128	85	294	89	312	7	17	4	32	29	5	8	10	9	24	0	0	92	48	3	2	8	29	2	42	1880
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	100	992	1	0	0	0	0	0	0	0	0	0	0	0	44	42	43	17	5	73	1	18	6	43	30	22	2	3	1	1	0	1	0	0	16	10	0	0	3	8	2	2	0	0	0	2	0	0	0	335	3	2	13	15	1856
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	1	0	0	0	0	0	0	317	1481	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	6	3	0	0	0	0	0	0	0	0	1830
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc lactis	0	0	0	0	0	0	0	0	388	1406	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1798
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	160	0	0	0	0	0	0	2	186	187	0	0	0	6	0	2	12	8	3	0	1	2	0	0	259	66	0	0	0	0	0	0	0	0	26	15	0	1	0	164	1	1	74	27	1	3	0	8	0	470	7	5	0	4	1701
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	196	218	22	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	59	126	71	423	371	1646
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	90	0	0	0	1	0	0	0	0	0	0	0	1	0	0	22	9	0	0	0	0	1	0	0	5	2	49	73	0	0	0	0	555	139	3	15	10	0	142	53	0	0	0	0	2	7	0	0	39	42	203	149	1612
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	5	301	582	0	0	0	17	8	0	0	0	0	1	0	16	13	17	13	8	11	8	11	7	9	15	11	12	21	4	19	3	5	3	12	48	37	1	63	71	5	27	26	1	1	0	0	1	4	1	8	32	33	48	65	1604
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	802	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1475
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	12	33	125	0	0	0	7	34	0	0	11	8	7	8	39	104	45	63	25	27	35	35	53	47	42	30	37	20	20	22	35	5	24	23	48	19	3	20	2	5	91	50	9	2	6	8	5	12	7	1	55	40	63	40	1462
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	4	1	57	0	0	0	30	45	0	0	9	8	29	3	69	67	131	25	27	80	4	19	15	81	28	10	15	63	31	21	12	11	10	31	38	28	10	17	27	3	12	21	9	12	2	3	9	9	5	1	15	68	20	171	1416
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	19	0	0	0	0	0	0	2	11	16	0	0	0	10	0	0	11	2	1	51	0	0	0	4	29	6	0	0	0	0	0	0	0	0	10	9	0	0	0	51	34	161	29	6	2	16	2	10	0	39	373	446	0	8	1358
