tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	281	674	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	963
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	0	0	0	8	2	2	168	184	41	33	49	41	18	15	8	38	8	122	6	11	7	19	47	38	865
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	0	0	0	6	12	2	188	20	21	40	133	47	78	5	26	33	14	77	4	32	44	24	32	21	859
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	0	0	0	1	0	0	4	1	432	0	3	0	1	0	59	4	0	0	20	42	0	0	117	147	831
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	0	0	1	3	5	48	126	29	177	228	30	29	2	6	20	6	38	5	4	6	0	17	47	827
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	0	0	0	1	6	4	88	8	143	22	66	30	40	3	71	16	14	68	24	59	32	30	38	38	801
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	62	544	0	0	0	0	0	30	0	0	0	145	0	0	0	0	0	0	781
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	3	550	0	0	0	0	0	0	0	0	6	0	0	0	0	32	180	771
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	0	0	0	17	29	21	159	37	206	0	0	0	0	0	18	11	112	6	0	0	30	31	58	21	756
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	0	0	0	4	15	0	89	9	359	0	0	12	26	20	3	27	0	11	1	1	2	9	39	126	753
