tax	BUD-57-MGE-S165	CM-NTC-009-NTC	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	2	2	0	72	16	45	8	15	64	127	6	3	7	7	0	0	34	29	40	110	23	26	637
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	19	0	6	54	18	26	26	56	27	70	10	26	13	51	0	44	11	10	15	27	16	37	38	9	609
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	3	0	0	0	0	10	3	10	26	8	3	2	11	0	3	0	1	1	4	12	12	481	3	0	593
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	183	0	0	25	0	38	49	60	0	0	0	0	0	40	76	113	0	0	0	584
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	3	0	0	0	0	39	0	0	57	61	69	58	0	0	40	91	1	0	78	0	0	57	0	7	561
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	3	0	0	0	0	45	0	0	11	10	1	20	91	3	0	34	5	0	56	154	32	9	25	5	504
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	7	0	4	7	1	52	20	11	59	42	70	33	26	4	0	9	5	3	47	49	3	18	19	7	496
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	2	0	0	0	0	0	0	1	0	0	7	10	20	0	0	0	0	0	398	43	9	0	0	0	490
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	4	0	2	4	0	42	8	26	8	62	20	0	30	1	0	60	1	0	83	53	45	19	15	5	488
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	1	0	2	0	0	5	13	0	0	0	74	124	17	0	0	0	0	0	57	35	1	59	30	5	423
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	1	3	0	23	36	166	6	29	4	2	4	0	0	0	0	1	13	14	69	10	13	7	401
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	69	0	1	11	0	6	0	2	0	22	24	235	0	0	0	0	0	0	0	0	0	0	0	0	370
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	15	0	0	0	0	46	115	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	355
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	3	0	0	27	128	1	3	16	11	1	0	0	0	0	0	6	0	1	22	118	7	344
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	9	0	3	10	13	17	15	21	8	37	35	38	7	18	0	1	2	3	14	24	10	9	20	7	321
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	0	0	0	0	0	0	10	64	82	27	0	0	0	0	0	12	67	34	16	3	0	315
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	1	0	0	0	0	297	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	314
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	11	0	0	0	0	0	0	0	0	216	0	0	0	1	0	17	9	0	0	0	0	0	43	10	307
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	82	0	81	0	0	0	0	0	0	0	0	0	0	5	1	23	88	0	0	0	0	0	0	0	280
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	2	0	0	0	0	11	0	0	3	82	3	17	4	17	0	0	8	8	19	17	3	17	49	10	270
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	258	0	0	0	0	270
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	6	0	0	10	0	21	31	45	8	2	4	7	5	20	0	9	3	2	7	15	62	0	1	0	258
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	11	0	0	9	1	9	3	9	15	32	13	17	7	11	0	12	8	18	23	13	5	15	12	3	246
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	75	80	42	0	0	0	239
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	6	0	0	20	18	5	6	12	10	49	20	23	1	9	0	6	3	7	8	4	5	5	11	1	229
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	12	0	6	0	0	25	20	33	17	0	0	0	2	12	0	4	5	7	16	13	47	0	0	0	219
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	12	1	2	1	0	17	1	4	14	17	13	11	17	7	0	0	0	4	30	17	3	24	12	5	212
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	5	0	3	2	1	15	9	24	7	18	9	2	5	18	0	12	4	10	4	9	26	9	10	4	206
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	3	0	2	3	1	12	5	0	22	28	32	11	9	1	0	1	2	1	28	21	3	10	3	1	199
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	2	0	4	0	0	45	3	18	25	2	8	4	0	0	44	8	0	0	8	12	1	9	3	0	196
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	3	0	0	0	0	0	0	0	0	192
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	7	0	0	0	0	0	0	0	0	120	0	0	0	0	0	8	9	0	0	0	0	0	35	5	184
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	0	1	0	0	14	3	7	5	1	1	3	4	15	0	7	0	1	13	4	57	34	6	3	180
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	2	0	3	10	13	6	10	16	13	4	19	28	0	14	0	4	3	15	5	2	3	3	0	0	173
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	2	1	0	7	0	0	4	79	0	0	12	15	0	0	0	0	0	24	28	1	0	0	173
