tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006-CTRL	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	1	3	0	2	41	2	0	3	1	0	0	0	8	20	11	1	8	0	5	10	8	4	23	3	154
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	2	4	1	0	3	1	0	0	0	2	40	0	6	0	0	10	42	14	22	2	0	149
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	3	4	0	13	2	12	11	7	9	0	0	2	2	36	5	9	1	6	0	2	1	0	20	3	148
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	0	0	0	6	10	14	3	7	0	2	3	2	2	24	12	5	8	2	4	9	10	9	7	8	147
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	3	0	0	0	0	0	0	0	0	71	0	0	3	0	0	0	0	0	51	16	144
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	2	2	0	2	23	1	0	3	0	0	0	0	7	30	2	4	4	0	1	14	7	4	19	9	134
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	4	11	0	12	0	0	0	12	6	0	0	0	5	39	0	2	0	0	0	7	2	19	4	8	131
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	0	1	5	0	0	1	0	0	2	0	0	52	13	2	2	0	1	3	1	0	40	4	127
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	6	0	0	25	0	0	0	0	0	1	7	1	0	4	0	15	0	7	10	5	20	10	13	126
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	4	1	0	11	9	3	0	2	0	0	0	0	3	6	7	3	1	0	5	5	19	2	41	0	122
